"No.","Time","Source","Destination","Protocol","Length","Info"
"4","0.091145","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3028, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"6","0.115476","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3030, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"8","0.171006","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3031, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"9","0.186958","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3032, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"10","0.191841","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3033, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"11","0.200104","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3035, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"15","0.287535","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3037, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"16","0.308161","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3039, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"18","0.322714","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3040, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"19","0.331856","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3041, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"24","0.531563","Cisco_2f:15:53","82:11:5a:9b:20:20","802.11","294","Probe Response, SN=1442, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"28","0.675245","Ubiquiti_3b:5c:ed","7a:c5:52:a8:7d:81","802.11","227","Probe Response, SN=3045, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"33","0.851932","Cisco_2f:15:53","HuaweiTe_a8:1e:05","802.11","294","Probe Response, SN=1455, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"39","1.058682","Ubiquiti_3b:5c:ed","da:3a:d1:ea:9d:5a","802.11","227","Probe Response, SN=3054, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"42","1.186761","Ubiquiti_3b:5c:ed","5e:2d:f5:6c:3e:6c","802.11","227","Probe Response, SN=3056, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"43","1.205501","Ubiquiti_3b:5c:ed","5e:2d:f5:6c:3e:6c","802.11","227","Probe Response, SN=3057, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"46","1.269317","Ubiquiti_3b:5c:ed","5e:2d:f5:6c:3e:6c","802.11","227","Probe Response, SN=3060, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"50","1.314111","Ubiquiti_3b:5c:ed","5e:2d:f5:6c:3e:6c","802.11","227","Probe Response, SN=3061, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"52","1.358017","Ubiquiti_3b:5c:ed","5e:2d:f5:6c:3e:6c","802.11","227","Probe Response, SN=3063, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"67","1.805112","Cisco_2f:15:53","be:e2:05:2e:62:d5","802.11","294","Probe Response, SN=1465, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"72","2.055289","Ubiquiti_3b:5c:ed","aa:8b:cc:4b:c8:03","802.11","227","Probe Response, SN=3074, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"75","2.183667","Cisco_2f:15:53","Google_fd:7f:c4","802.11","294","Probe Response, SN=1478, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"76","2.188931","Cisco_2f:15:53","Google_fd:7f:c4","802.11","294","Probe Response, SN=1478, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"78","2.219449","Cisco_2f:15:54","Apple_96:22:60","802.11","274","Probe Response, SN=1479, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"84","2.470952","Ubiquiti_3b:5c:ed","Apple_de:27:15","802.11","227","Probe Response, SN=3081, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"96","2.964539","ArubaaHe_58:77:62","2a:f4:22:8f:39:5c","802.11","183","Probe Response, SN=1235, FN=0, Flags=........, BI=100, SSID=NETIA WIFI"
"98","3.055584","Cisco_2f:15:54","8a:ed:f9:6b:a3:6d","802.11","274","Probe Response, SN=1496, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"101","3.140489","Ubiquiti_3b:5c:ed","ca:1d:e4:12:44:17","802.11","227","Probe Response, SN=3090, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"103","3.155926","Cisco_2f:15:54","7a:3d:7a:86:40:9b","802.11","274","Probe Response, SN=1500, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"105","3.226559","Cisco_2f:15:53","ca:1a:36:33:70:ed","802.11","294","Probe Response, SN=1503, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"106","3.245754","Cisco_2f:15:53","ca:1a:36:33:70:ed","802.11","294","Probe Response, SN=1503, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"108","3.283864","Ubiquiti_3b:5c:ed","42:6b:59:44:81:95","802.11","227","Probe Response, SN=3094, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"109","3.308528","Ubiquiti_3b:5c:ed","42:6b:59:44:81:95","802.11","227","Probe Response, SN=3095, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"112","3.332315","Ubiquiti_3b:5c:ed","42:6b:59:44:81:95","802.11","227","Probe Response, SN=3096, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"114","3.344457","Ubiquiti_3b:5c:ed","42:6b:59:44:81:95","802.11","227","Probe Response, SN=3097, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"115","3.370609","Ubiquiti_3b:5c:ed","42:6b:59:44:81:95","802.11","227","Probe Response, SN=3098, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"125","3.655780","Ubiquiti_3b:5c:ed","b6:4e:29:21:e6:68","802.11","227","Probe Response, SN=3102, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"127","3.704433","Ubiquiti_3b:5c:ed","be:1a:f7:c3:b6:09","802.11","227","Probe Response, SN=3104, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"128","3.756343","Ubiquiti_3b:5c:ed","b6:4e:29:21:e6:68","802.11","227","Probe Response, SN=3105, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"129","3.764662","Ubiquiti_3b:5c:ed","be:1a:f7:c3:b6:09","802.11","227","Probe Response, SN=3106, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"137","4.053739","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3112, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"138","4.084521","Ubiquiti_3b:5c:ed","5e:c3:78:1c:c8:cd","802.11","227","Probe Response, SN=3113, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"142","4.112314","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3115, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"143","4.135444","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3116, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"144","4.155907","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3117, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"148","4.253633","ArubaaHe_58:77:62","62:17:2d:52:c9:e8","802.11","183","Probe Response, SN=1243, FN=0, Flags=........, BI=100, SSID=NETIA WIFI"
"149","4.255235","ArubaaHe_58:77:63","62:17:2d:52:c9:e8","802.11","185","Probe Response, SN=106, FN=0, Flags=........, BI=100, SSID=COSTA COFFEE"
"153","4.428719","Ubiquiti_3b:5c:ed","0e:9a:f8:14:6e:bf","802.11","227","Probe Response, SN=3122, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"154","4.446611","Ubiquiti_3b:5c:ed","0e:9a:f8:14:6e:bf","802.11","227","Probe Response, SN=3124, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"158","4.575889","Cisco_2f:15:54","76:b4:2a:4e:e2:8d","802.11","274","Probe Response, SN=1531, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"165","4.736024","Ubiquiti_3b:5c:ed","8e:60:da:a1:12:6e","802.11","227","Probe Response, SN=3130, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"168","4.821677","Ubiquiti_3b:5c:ed","52:8d:1a:4c:44:ea","802.11","227","Probe Response, SN=3133, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"170","4.841143","Ubiquiti_3b:5c:ed","52:8d:1a:4c:44:ea","802.11","227","Probe Response, SN=3134, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"173","4.890190","Ubiquiti_3b:5c:ed","8e:1a:49:c3:ed:ff","802.11","227","Probe Response, SN=3136, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"174","4.898840","Ubiquiti_3b:5c:ed","8e:1a:49:c3:ed:ff","802.11","227","Probe Response, SN=3137, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"176","4.976655","Ubiquiti_3b:5c:ed","8e:1a:49:c3:ed:ff","802.11","227","Probe Response, SN=3139, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"193","5.916408","Ubiquiti_3b:5c:ed","ba:6a:77:61:2e:67","802.11","227","Probe Response, SN=3152, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
